# xp yp zp Ez Er |E| Hp
# 1111 7
# 1 11 101 7
 0.00000000e+00  0.00000000e+00  0.00000000e+00  1.93226700e+06  0.00000000e+00  1.93226700e+06  0.00000000e+00
 5.87820000e-04  0.00000000e+00  0.00000000e+00  1.92657100e+06  0.00000000e+00  1.92657100e+06  0.00000000e+00
 1.17564000e-03  0.00000000e+00  0.00000000e+00  1.90912900e+06  0.00000000e+00  1.90912900e+06  0.00000000e+00
 1.76346000e-03  0.00000000e+00  0.00000000e+00  1.88066400e+06  0.00000000e+00  1.88066400e+06  0.00000000e+00
 2.35128000e-03  0.00000000e+00  0.00000000e+00  1.84009200e+06  0.00000000e+00  1.84009200e+06  0.00000000e+00
 2.93910000e-03  0.00000000e+00  0.00000000e+00  1.78893200e+06  0.00000000e+00  1.78893200e+06  0.00000000e+00
 3.52692000e-03  0.00000000e+00  0.00000000e+00  1.72736100e+06  0.00000000e+00  1.72736100e+06  0.00000000e+00
 4.11474000e-03  0.00000000e+00  0.00000000e+00  1.65578200e+06  0.00000000e+00  1.65578200e+06  0.00000000e+00
 4.70256000e-03  0.00000000e+00  0.00000000e+00  1.57182600e+06  0.00000000e+00  1.57182600e+06  0.00000000e+00
 5.29038000e-03  0.00000000e+00  0.00000000e+00  1.48047000e+06  0.00000000e+00  1.48047000e+06  0.00000000e+00
 5.87820000e-03  0.00000000e+00  0.00000000e+00  1.37679600e+06  0.00000000e+00  1.37679600e+06  0.00000000e+00
 6.46602000e-03  0.00000000e+00  0.00000000e+00  1.26833500e+06  0.00000000e+00  1.26833500e+06  0.00000000e+00
 7.05384000e-03  0.00000000e+00  0.00000000e+00  1.15330000e+06  0.00000000e+00  1.15330000e+06  0.00000000e+00
 7.64166000e-03  0.00000000e+00  0.00000000e+00  1.02651800e+06  0.00000000e+00  1.02651800e+06  0.00000000e+00
 8.22948000e-03  0.00000000e+00  0.00000000e+00  9.00403900e+05  0.00000000e+00  9.00403900e+05  0.00000000e+00
 8.81730000e-03  0.00000000e+00  0.00000000e+00  7.64776100e+05  0.00000000e+00  7.64776100e+05  0.00000000e+00
 9.40512000e-03  0.00000000e+00  0.00000000e+00  6.33092000e+05  0.00000000e+00  6.33092000e+05  0.00000000e+00
 9.99294000e-03  0.00000000e+00  0.00000000e+00  5.00663600e+05  0.00000000e+00  5.00663600e+05  0.00000000e+00
 1.05808000e-02  0.00000000e+00  0.00000000e+00  3.63466000e+05  0.00000000e+00  3.63466000e+05  0.00000000e+00
 1.11686000e-02  0.00000000e+00  0.00000000e+00  2.33758000e+05  0.00000000e+00  2.33758000e+05  0.00000000e+00
 1.17564000e-02  0.00000000e+00  0.00000000e+00  1.03323600e+05  0.00000000e+00  1.03323600e+05  0.00000000e+00
 1.23442000e-02  0.00000000e+00  0.00000000e+00 -1.84229100e+04  0.00000000e+00  1.84229100e+04  0.00000000e+00
 1.29320000e-02  0.00000000e+00  0.00000000e+00 -1.37403900e+05  0.00000000e+00  1.37403900e+05  0.00000000e+00
 1.35199000e-02  0.00000000e+00  0.00000000e+00 -2.47282500e+05  0.00000000e+00  2.47282500e+05  0.00000000e+00
 1.41077000e-02  0.00000000e+00  0.00000000e+00 -3.51006600e+05  0.00000000e+00  3.51006600e+05  0.00000000e+00
 1.46955000e-02  0.00000000e+00  0.00000000e+00 -4.47389800e+05  0.00000000e+00  4.47389800e+05  0.00000000e+00
 1.52833000e-02  0.00000000e+00  0.00000000e+00 -5.36207000e+05  0.00000000e+00  5.36207000e+05  0.00000000e+00
 1.58711000e-02  0.00000000e+00  0.00000000e+00 -6.16390100e+05  0.00000000e+00  6.16390100e+05  0.00000000e+00
