Los Alamos National Laboratory Poisson Superfish
Program SF7 written by James H. Billen and Lloyd M. Young

The original Poisson Superfish codes were developed
by Ron F. Holsinger in collaboration with Klaus Halbach.
These programs are provided as a service to the accelerator
community by the Los Alamos Accelerator Code Group (LAACG).

(c) Copyright 1985-2005, by the Regents of the University of California.        
This software was produced under U. S. Government contract W-7405-ENG-36        
by Los Alamos National Laboratory, which is operated by the University          
of California for the U. S. Department of Energy.  Neither the Government       
nor the University makes any warranty, express or implied, or assumes           
any liability or responsibility for its use, or represents that use of          
this software would not infringe privately owned rights.                        
Unpublished - rights reserved under Copyright Laws of the United States.        


Program SF7  7.17  released 1-13-2006 

Program file: C:\LANL\SF7.EXE
SF.INI file: C:\LANL\SF.INI  2-11-2021   4:14:24
Solution file C:\LANL\LINAC\BUNCHER1\DISKLOADED.T35.
Memory used for DISKLOADED.T35 arrays:     164.424 K
Reading keyword commands and data from file:
C:\LANL\LINAC\BUNCHER1\DISKLOADED.IN7

Electromagnetic fields for a rectangular area with corners at:
(Zmin,Rmin) = (0.0,0.0)
(Zmax,Rmax) = (58.782,10)
Z and R increments:   100    10

      Z             R              Ez            Er            |E|           H 
    (mm)          (mm)           (MV/m)        (MV/m)        (MV/m)        (A/m) 
   0.00000       0.00000      1.932267E+00  0.000000E+00  1.932267E+00  0.000000E+00
  0.587820       0.00000      1.926571E+00  0.000000E+00  1.926571E+00  0.000000E+00
   1.17564       0.00000      1.909129E+00  0.000000E+00  1.909129E+00  0.000000E+00
   1.76346       0.00000      1.880664E+00  0.000000E+00  1.880664E+00  0.000000E+00
   2.35128       0.00000      1.840092E+00  0.000000E+00  1.840092E+00  0.000000E+00
   2.93910       0.00000      1.788932E+00  0.000000E+00  1.788932E+00  0.000000E+00
   3.52692       0.00000      1.727361E+00  0.000000E+00  1.727361E+00  0.000000E+00
   4.11474       0.00000      1.655782E+00  0.000000E+00  1.655782E+00  0.000000E+00
   4.70256       0.00000      1.571826E+00  0.000000E+00  1.571826E+00  0.000000E+00
   5.29038       0.00000      1.480470E+00  0.000000E+00  1.480470E+00  0.000000E+00
   5.87820       0.00000      1.376796E+00  0.000000E+00  1.376796E+00  0.000000E+00
   6.46602       0.00000      1.268335E+00  0.000000E+00  1.268335E+00  0.000000E+00
   7.05384       0.00000      1.153300E+00  0.000000E+00  1.153300E+00  0.000000E+00
   7.64166       0.00000      1.026518E+00  0.000000E+00  1.026518E+00  0.000000E+00
   8.22948       0.00000      9.004039E-01  0.000000E+00  9.004039E-01  0.000000E+00
   8.81730       0.00000      7.647761E-01  0.000000E+00  7.647761E-01  0.000000E+00
   9.40512       0.00000      6.330920E-01  0.000000E+00  6.330920E-01  0.000000E+00
   9.99294       0.00000      5.006636E-01  0.000000E+00  5.006636E-01  0.000000E+00
   10.5808       0.00000      3.634660E-01  0.000000E+00  3.634660E-01  0.000000E+00
   11.1686       0.00000      2.337580E-01  0.000000E+00  2.337580E-01  0.000000E+00
   11.7564       0.00000      1.033236E-01  0.000000E+00  1.033236E-01  0.000000E+00
   12.3442       0.00000     -1.842291E-02  0.000000E+00  1.842291E-02  0.000000E+00
   12.9320       0.00000     -1.374039E-01  0.000000E+00  1.374039E-01  0.000000E+00
   13.5199       0.00000     -2.472825E-01  0.000000E+00  2.472825E-01  0.000000E+00
   14.1077       0.00000     -3.510066E-01  0.000000E+00  3.510066E-01  0.000000E+00
   14.6955       0.00000     -4.473898E-01  0.000000E+00  4.473898E-01  0.000000E+00
   15.2833       0.00000     -5.362070E-01  0.000000E+00  5.362070E-01  0.000000E+00
   15.8711       0.00000     -6.163901E-01  0.000000E+00  6.163901E-01  0.000000E+00
   16.4590       0.00000     -6.899547E-01  0.000000E+00  6.899547E-01  0.000000E+00
   17.0468       0.00000     -7.563088E-01  0.000000E+00  7.563088E-01  0.000000E+00
   17.6346       0.00000     -8.133419E-01  0.000000E+00  8.133419E-01  0.000000E+00
   18.2224       0.00000     -8.654397E-01  0.000000E+00  8.654397E-01  0.000000E+00
   18.8102       0.00000     -9.087440E-01  0.000000E+00  9.087440E-01  0.000000E+00
   19.3981       0.00000     -9.480100E-01  0.000000E+00  9.480100E-01  0.000000E+00
   19.9859       0.00000     -9.814703E-01  0.000000E+00  9.814703E-01  0.000000E+00
   20.5737       0.00000     -1.007262E+00  0.000000E+00  1.007262E+00  0.000000E+00
   21.1615       0.00000     -1.030306E+00  0.000000E+00  1.030306E+00  0.000000E+00
   21.7493       0.00000     -1.046599E+00  0.000000E+00  1.046599E+00  0.000000E+00
   22.3372       0.00000     -1.061014E+00  0.000000E+00  1.061014E+00  0.000000E+00
   22.9250       0.00000     -1.071865E+00  0.000000E+00  1.071865E+00  0.000000E+00
   23.5128       0.00000     -1.077174E+00  0.000000E+00  1.077174E+00  0.000000E+00
   24.1006       0.00000     -1.082127E+00  0.000000E+00  1.082127E+00  0.000000E+00
   24.6884       0.00000     -1.082554E+00  0.000000E+00  1.082554E+00  0.000000E+00
   25.2763       0.00000     -1.083562E+00  0.000000E+00  1.083562E+00  0.000000E+00
   25.8641       0.00000     -1.081111E+00  0.000000E+00  1.081111E+00  0.000000E+00
   26.4519       0.00000     -1.080136E+00  0.000000E+00  1.080136E+00  0.000000E+00
   27.0397       0.00000     -1.078584E+00  0.000000E+00  1.078584E+00  0.000000E+00
   27.6275       0.00000     -1.075627E+00  0.000000E+00  1.075627E+00  0.000000E+00
   28.2154       0.00000     -1.074415E+00  0.000000E+00  1.074415E+00  0.000000E+00
   28.8032       0.00000     -1.073095E+00  0.000000E+00  1.073095E+00  0.000000E+00
   29.3910       0.00000     -1.073234E+00  0.000000E+00  1.073234E+00  0.000000E+00
   29.9788       0.00000     -1.073733E+00  0.000000E+00  1.073733E+00  0.000000E+00
   30.5666       0.00000     -1.075927E+00  0.000000E+00  1.075927E+00  0.000000E+00
   31.1545       0.00000     -1.077793E+00  0.000000E+00  1.077793E+00  0.000000E+00
   31.7423       0.00000     -1.081572E+00  0.000000E+00  1.081572E+00  0.000000E+00
   32.3301       0.00000     -1.083791E+00  0.000000E+00  1.083791E+00  0.000000E+00
   32.9179       0.00000     -1.085448E+00  0.000000E+00  1.085448E+00  0.000000E+00
   33.5057       0.00000     -1.088615E+00  0.000000E+00  1.088615E+00  0.000000E+00
   34.0936       0.00000     -1.088262E+00  0.000000E+00  1.088262E+00  0.000000E+00
   34.6814       0.00000     -1.088428E+00  0.000000E+00  1.088428E+00  0.000000E+00
   35.2692       0.00000     -1.084071E+00  0.000000E+00  1.084071E+00  0.000000E+00
   35.8570       0.00000     -1.079225E+00  0.000000E+00  1.079225E+00  0.000000E+00
   36.4448       0.00000     -1.068883E+00  0.000000E+00  1.068883E+00  0.000000E+00
   37.0327       0.00000     -1.054911E+00  0.000000E+00  1.054911E+00  0.000000E+00
   37.6205       0.00000     -1.038914E+00  0.000000E+00  1.038914E+00  0.000000E+00
   38.2083       0.00000     -1.016209E+00  0.000000E+00  1.016209E+00  0.000000E+00
   38.7961       0.00000     -9.905856E-01  0.000000E+00  9.905856E-01  0.000000E+00
   39.3839       0.00000     -9.573681E-01  0.000000E+00  9.573681E-01  0.000000E+00
   39.9718       0.00000     -9.183010E-01  0.000000E+00  9.183010E-01  0.000000E+00
   40.5596       0.00000     -8.750068E-01  0.000000E+00  8.750068E-01  0.000000E+00
   41.1474       0.00000     -8.230477E-01  0.000000E+00  8.230477E-01  0.000000E+00
   41.7352       0.00000     -7.659091E-01  0.000000E+00  7.659091E-01  0.000000E+00
   42.3230       0.00000     -6.996558E-01  0.000000E+00  6.996558E-01  0.000000E+00
   42.9109       0.00000     -6.262179E-01  0.000000E+00  6.262179E-01  0.000000E+00
   43.4987       0.00000     -5.457755E-01  0.000000E+00  5.457755E-01  0.000000E+00
   44.0865       0.00000     -4.570716E-01  0.000000E+00  4.570716E-01  0.000000E+00
   44.6743       0.00000     -3.603354E-01  0.000000E+00  3.603354E-01  0.000000E+00
   45.2621       0.00000     -2.566953E-01  0.000000E+00  2.566953E-01  0.000000E+00
   45.8500       0.00000     -1.469237E-01  0.000000E+00  1.469237E-01  0.000000E+00
   46.4378       0.00000     -2.742986E-02  0.000000E+00  2.742986E-02  0.000000E+00
   47.0256       0.00000      9.433203E-02  0.000000E+00  9.433203E-02  0.000000E+00
   47.6134       0.00000      2.253198E-01  0.000000E+00  2.253198E-01  0.000000E+00
   48.2012       0.00000      3.552310E-01  0.000000E+00  3.552310E-01  0.000000E+00
   48.7891       0.00000      4.929854E-01  0.000000E+00  4.929854E-01  0.000000E+00
   49.3769       0.00000      6.258508E-01  0.000000E+00  6.258508E-01  0.000000E+00
   49.9647       0.00000      7.580943E-01  0.000000E+00  7.580943E-01  0.000000E+00
   50.5525       0.00000      8.943637E-01  0.000000E+00  8.943637E-01  0.000000E+00
   51.1403       0.00000      1.021249E+00  0.000000E+00  1.021249E+00  0.000000E+00
   51.7282       0.00000      1.148592E+00  0.000000E+00  1.148592E+00  0.000000E+00
   52.3160       0.00000      1.264527E+00  0.000000E+00  1.264527E+00  0.000000E+00
   52.9038       0.00000      1.373875E+00  0.000000E+00  1.373875E+00  0.000000E+00
   53.4916       0.00000      1.478057E+00  0.000000E+00  1.478057E+00  0.000000E+00
   54.0794       0.00000      1.570270E+00  0.000000E+00  1.570270E+00  0.000000E+00
   54.6673       0.00000      1.654612E+00  0.000000E+00  1.654612E+00  0.000000E+00
   55.2551       0.00000      1.726921E+00  0.000000E+00  1.726921E+00  0.000000E+00
   55.8429       0.00000      1.788790E+00  0.000000E+00  1.788790E+00  0.000000E+00
   56.4307       0.00000      1.840290E+00  0.000000E+00  1.840290E+00  0.000000E+00
   57.0185       0.00000      1.878609E+00  0.000000E+00  1.878609E+00  0.000000E+00
   57.6064       0.00000      1.907484E+00  0.000000E+00  1.907484E+00  0.000000E+00
   58.1942       0.00000      1.924051E+00  0.000000E+00  1.924051E+00  0.000000E+00
   58.7820       0.00000      1.929880E+00  0.000000E+00  1.929880E+00  0.000000E+00
   0.00000       1.00000      1.951665E+00  0.000000E+00  1.951665E+00  1.546727E+02
  0.587820       1.00000      1.945968E+00  9.691388E-03  1.945992E+00  1.542197E+02
   1.17564       1.00000      1.928755E+00  1.936931E-02  1.928852E+00  1.528449E+02
   1.76346       1.00000      1.900291E+00  2.905397E-02  1.900513E+00  1.505816E+02
   2.35128       1.00000      1.860117E+00  3.873599E-02  1.860520E+00  1.473766E+02
   2.93910       1.00000      1.808956E+00  4.829766E-02  1.809601E+00  1.433086E+02
   3.52692       1.00000      1.746749E+00  5.771434E-02  1.747702E+00  1.383790E+02
   4.11474       1.00000      1.673782E+00  6.702803E-02  1.675123E+00  1.326138E+02
   4.70256       1.00000      1.589826E+00  7.579692E-02  1.591632E+00  1.259381E+02
   5.29038       1.00000      1.496178E+00  8.425650E-02  1.498549E+00  1.185524E+02
   5.87820       1.00000      1.392505E+00  9.211337E-02  1.395548E+00  1.103088E+02
   6.46602       1.00000      1.280730E+00  9.903925E-02  1.284554E+00  1.015088E+02
   7.05384       1.00000      1.161415E+00  1.055001E-01  1.166197E+00  9.213493E+01
   7.64166       1.00000      1.034634E+00  1.101812E-01  1.040484E+00  8.205387E+01
   8.22948       1.00000      9.035392E-01  1.141062E-01  9.107158E-01  7.176190E+01
   8.81730       1.00000      7.679113E-01  1.166241E-01  7.767168E-01  6.097743E+01
   9.40512       1.00000      6.309898E-01  1.175609E-01  6.418479E-01  5.022893E+01
   9.99294       1.00000      4.926672E-01  1.177536E-01  5.065441E-01  3.923019E+01
   10.5808       1.00000      3.563998E-01  1.156727E-01  3.747012E-01  2.852645E+01
   11.1686       1.00000      2.224939E-01  1.129459E-01  2.495201E-01  1.799017E+01
   11.7564       1.00000      9.205950E-02  1.089491E-01  1.426354E-01  7.618675E+00
   12.3442       1.00000     -3.277362E-02  1.039399E-01  1.089845E-01 -2.225631E+00
   12.9320       1.00000     -1.517546E-01  9.847069E-02  1.809031E-01 -1.168642E+01
   13.5199       1.00000     -2.634695E-01  9.201844E-02  2.790763E-01 -2.052076E+01
   14.1077       1.00000     -3.678411E-01  8.540242E-02  3.776250E-01 -2.880272E+01
   14.6955       1.00000     -4.642243E-01  7.856483E-02  4.708255E-01 -3.646664E+01
   15.2833       1.00000     -5.527059E-01  7.162967E-02  5.573281E-01 -4.351115E+01
   15.8711       1.00000     -6.328890E-01  6.477781E-02  6.361954E-01 -4.988692E+01
   16.4590       1.00000     -7.054070E-01  5.810052E-02  7.077957E-01 -5.568093E+01
   17.0468       1.00000     -7.702718E-01  5.156104E-02  7.719956E-01 -6.087814E+01
   17.6346       1.00000     -8.273049E-01  4.546377E-02  8.285532E-01 -6.541313E+01
   18.2224       1.00000     -8.776876E-01  3.959983E-02  8.785805E-01 -6.946477E+01
   18.8102       1.00000     -9.209919E-01  3.406947E-02  9.216218E-01 -7.290812E+01
   19.3981       1.00000     -9.584609E-01  2.898596E-02  9.588991E-01 -7.593510E+01
   19.9859       1.00000     -9.901136E-01  2.409244E-02  9.904066E-01 -7.849987E+01
   20.5737       1.00000     -1.015906E+00  1.978498E-02  1.016098E+00 -8.055073E+01
   21.1615       1.00000     -1.037143E+00  1.569935E-02  1.037262E+00 -8.228733E+01
   21.7493       1.00000     -1.053436E+00  1.201717E-02  1.053504E+00 -8.358281E+01
   22.3372       1.00000     -1.066023E+00  8.758365E-03  1.066059E+00 -8.463217E+01
   22.9250       1.00000     -1.074535E+00  5.721825E-03  1.074550E+00 -8.530898E+01
   23.5128       1.00000     -1.080307E+00  3.338920E-03  1.080312E+00 -8.581766E+01
   24.1006       1.00000     -1.083335E+00  1.178137E-03  1.083336E+00 -8.610948E+01
   24.6884       1.00000     -1.083762E+00 -4.523450E-04  1.083762E+00 -8.614341E+01
   25.2763       1.00000     -1.082857E+00 -1.644189E-03  1.082858E+00 -8.612217E+01
   25.8641       1.00000     -1.080406E+00 -2.525962E-03  1.080409E+00 -8.592726E+01
   26.4519       1.00000     -1.077655E+00 -2.746115E-03  1.077658E+00 -8.575558E+01
   27.0397       1.00000     -1.074648E+00 -2.743353E-03  1.074652E+00 -8.555505E+01
   27.6275       1.00000     -1.071691E+00 -2.286765E-03  1.071694E+00 -8.531994E+01
   28.2154       1.00000     -1.069540E+00 -1.558307E-03  1.069541E+00 -8.517378E+01
   28.8032       1.00000     -1.068220E+00 -6.869337E-04  1.068221E+00 -8.506884E+01
   29.3910       1.00000     -1.068081E+00  3.743786E-04  1.068081E+00 -8.506511E+01
   29.9788       1.00000     -1.069010E+00  1.444165E-03  1.069011E+00 -8.512758E+01
