# xp yp zp Ex Ey Ez
# 1111 6
# 101 1 11 6
 0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
 1.00000000e-03  0.00000000e+00  0.00000000e+00 -9.01420400e+03  0.00000000e+00  0.00000000e+00
 2.00000000e-03  0.00000000e+00  0.00000000e+00 -1.80509100e+04  0.00000000e+00  0.00000000e+00
 3.00000000e-03  0.00000000e+00  0.00000000e+00 -2.57185700e+04  0.00000000e+00  0.00000000e+00
 4.00000000e-03  0.00000000e+00  0.00000000e+00 -3.35329100e+04  0.00000000e+00  0.00000000e+00
 5.00000000e-03  0.00000000e+00  0.00000000e+00 -3.95146900e+04  0.00000000e+00  0.00000000e+00
 6.00000000e-03  0.00000000e+00  0.00000000e+00 -4.52353900e+04  0.00000000e+00  0.00000000e+00
 7.00000000e-03  0.00000000e+00  0.00000000e+00 -4.93667100e+04  0.00000000e+00  0.00000000e+00
 8.00000000e-03  0.00000000e+00  0.00000000e+00 -5.20871900e+04  0.00000000e+00  0.00000000e+00
 9.00000000e-03  0.00000000e+00  0.00000000e+00 -5.37159400e+04  0.00000000e+00  0.00000000e+00
 1.00000000e-02  0.00000000e+00  0.00000000e+00 -5.39355800e+04  0.00000000e+00  0.00000000e+00
 0.00000000e+00  0.00000000e+00  9.44715000e-04  0.00000000e+00  0.00000000e+00  1.75157600e+04
 1.00000000e-03  0.00000000e+00  9.44715000e-04 -9.01420400e+03  0.00000000e+00  1.67896800e+04
 2.00000000e-03  0.00000000e+00  9.44715000e-04 -1.78959100e+04  0.00000000e+00  1.62740000e+04
 3.00000000e-03  0.00000000e+00  9.44715000e-04 -2.64809100e+04  0.00000000e+00  1.54659800e+04
 4.00000000e-03  0.00000000e+00  9.44715000e-04 -3.35329100e+04  0.00000000e+00  1.41574000e+04
 5.00000000e-03  0.00000000e+00  9.44715000e-04 -4.04004900e+04  0.00000000e+00  1.28972900e+04
 6.00000000e-03  0.00000000e+00  9.44715000e-04 -4.52353900e+04  0.00000000e+00  1.12389500e+04
 7.00000000e-03  0.00000000e+00  9.44715000e-04 -4.98282700e+04  0.00000000e+00  9.63119500e+03
 8.00000000e-03  0.00000000e+00  9.44715000e-04 -5.20871900e+04  0.00000000e+00  7.87800100e+03
 9.00000000e-03  0.00000000e+00  9.44715000e-04 -5.41192500e+04  0.00000000e+00  6.17555200e+03
