Los Alamos National Laboratory Poisson Superfish
Program SF7 written by James H. Billen and Lloyd M. Young

The original Poisson Superfish codes were developed
by Ron F. Holsinger in collaboration with Klaus Halbach.
These programs are provided as a service to the accelerator
community by the Los Alamos Accelerator Code Group (LAACG).

(c) Copyright 1985-2005, by the Regents of the University of California.        
This software was produced under U. S. Government contract W-7405-ENG-36        
by Los Alamos National Laboratory, which is operated by the University          
of California for the U. S. Department of Energy.  Neither the Government       
nor the University makes any warranty, express or implied, or assumes           
any liability or responsibility for its use, or represents that use of          
this software would not infringe privately owned rights.                        
Unpublished - rights reserved under Copyright Laws of the United States.        


Program SF7  7.17  released 1-13-2006 

Program file: C:\LANL\SF7.EXE
SF.INI file: C:\LANL\SF.INI  2-11-2021   4:14:24
Solution file C:\LANL\LINAC\BUNCHER2_OPENED\RUN\DISKLOADED.T35.
Memory used for DISKLOADED.T35 arrays:     257.244 K
Reading keyword commands and data from file:
C:\LANL\LINAC\BUNCHER2_OPENED\RUN\DISKLOADED.IN7

Electromagnetic fields for a rectangular area with corners at:
(Zmin,Rmin) = (0.0,0.0)
(Zmax,Rmax) = (94.4715,10)
Z and R increments:   100    10

      Z             R              Ez            Er            |E|           H 
    (mm)          (mm)           (MV/m)        (MV/m)        (MV/m)        (A/m) 
   0.00000       0.00000      1.944726E+00  0.000000E+00  1.944726E+00  0.000000E+00
  0.944715       0.00000      1.940719E+00  0.000000E+00  1.940719E+00  0.000000E+00
   1.88943       0.00000      1.927871E+00  0.000000E+00  1.927871E+00  0.000000E+00
   2.83414       0.00000      1.906576E+00  0.000000E+00  1.906576E+00  0.000000E+00
   3.77886       0.00000      1.875871E+00  0.000000E+00  1.875871E+00  0.000000E+00
   4.72357       0.00000      1.835133E+00  0.000000E+00  1.835133E+00  0.000000E+00
   5.66829       0.00000      1.783470E+00  0.000000E+00  1.783470E+00  0.000000E+00
   6.61301       0.00000      1.719918E+00  0.000000E+00  1.719918E+00  0.000000E+00
   7.55772       0.00000      1.643501E+00  0.000000E+00  1.643501E+00  0.000000E+00
   8.50244       0.00000      1.553352E+00  0.000000E+00  1.553352E+00  0.000000E+00
   9.44715       0.00000      1.448857E+00  0.000000E+00  1.448857E+00  0.000000E+00
   10.3919       0.00000      1.329822E+00  0.000000E+00  1.329822E+00  0.000000E+00
   11.3366       0.00000      1.196643E+00  0.000000E+00  1.196643E+00  0.000000E+00
   12.2813       0.00000      1.050451E+00  0.000000E+00  1.050451E+00  0.000000E+00
   13.2260       0.00000      8.932020E-01  0.000000E+00  8.932020E-01  0.000000E+00
   14.1707       0.00000      7.276735E-01  0.000000E+00  7.276735E-01  0.000000E+00
   15.1154       0.00000      5.573452E-01  0.000000E+00  5.573452E-01  0.000000E+00
   16.0602       0.00000      3.824440E-01  0.000000E+00  3.824440E-01  0.000000E+00
   17.0049       0.00000      2.151184E-01  0.000000E+00  2.151184E-01  0.000000E+00
   17.9496       0.00000      5.504152E-02  0.000000E+00  5.504152E-02  0.000000E+00
   18.8943       0.00000     -9.479360E-02  0.000000E+00  9.479360E-02  0.000000E+00
   19.8390       0.00000     -2.322251E-01  0.000000E+00  2.322251E-01  0.000000E+00
   20.7837       0.00000     -3.559745E-01  0.000000E+00  3.559745E-01  0.000000E+00
   21.7284       0.00000     -4.655858E-01  0.000000E+00  4.655858E-01  0.000000E+00
   22.6732       0.00000     -5.612860E-01  0.000000E+00  5.612860E-01  0.000000E+00
   23.6179       0.00000     -6.438082E-01  0.000000E+00  6.438082E-01  0.000000E+00
