# xp yp zp Ex Ey Ez
# 1166 6
# 106 1 11 6
 0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
 1.00000000e-03  0.00000000e+00  0.00000000e+00 -6.53429000e+03  0.00000000e+00  0.00000000e+00
 2.00000000e-03  0.00000000e+00  0.00000000e+00 -1.30934500e+04  0.00000000e+00  0.00000000e+00
 3.00000000e-03  0.00000000e+00  0.00000000e+00 -1.87282600e+04  0.00000000e+00  0.00000000e+00
 4.00000000e-03  0.00000000e+00  0.00000000e+00 -2.44639000e+04  0.00000000e+00  0.00000000e+00
 5.00000000e-03  0.00000000e+00  0.00000000e+00 -2.89892100e+04  0.00000000e+00  0.00000000e+00
 6.00000000e-03  0.00000000e+00  0.00000000e+00 -3.33324400e+04  0.00000000e+00  0.00000000e+00
 7.00000000e-03  0.00000000e+00  0.00000000e+00 -3.63277300e+04  0.00000000e+00  0.00000000e+00
 8.00000000e-03  0.00000000e+00  0.00000000e+00 -3.89848800e+04  0.00000000e+00  0.00000000e+00
 9.00000000e-03  0.00000000e+00  0.00000000e+00 -4.05549400e+04  0.00000000e+00  0.00000000e+00
 1.00000000e-02  0.00000000e+00  0.00000000e+00 -4.12774400e+04  0.00000000e+00  0.00000000e+00
 0.00000000e+00  0.00000000e+00  9.98714000e-04  0.00000000e+00  0.00000000e+00  1.37527400e+04
 1.00000000e-03  0.00000000e+00  9.98714000e-04 -6.53429000e+03  0.00000000e+00  1.28816300e+04
 2.00000000e-03  0.00000000e+00  9.98714000e-04 -1.29786000e+04  0.00000000e+00  1.25177800e+04
 3.00000000e-03  0.00000000e+00  9.98714000e-04 -1.92301800e+04  0.00000000e+00  1.19735500e+04
 4.00000000e-03  0.00000000e+00  9.98714000e-04 -2.43997000e+04  0.00000000e+00  1.09483200e+04
 5.00000000e-03  0.00000000e+00  9.98714000e-04 -2.95606700e+04  0.00000000e+00  1.01845000e+04
 6.00000000e-03  0.00000000e+00  9.98714000e-04 -3.33324400e+04  0.00000000e+00  9.02272200e+03
 7.00000000e-03  0.00000000e+00  9.98714000e-04 -3.69212500e+04  0.00000000e+00  7.90676500e+03
 8.00000000e-03  0.00000000e+00  9.98714000e-04 -3.89848800e+04  0.00000000e+00  6.66424300e+03
 9.00000000e-03  0.00000000e+00  9.98714000e-04 -4.08692800e+04  0.00000000e+00  5.47459300e+03
 1.00000000e-02  0.00000000e+00  9.98714000e-04 -4.12774400e+04  0.00000000e+00  4.32275000e+03
 0.00000000e+00  0.00000000e+00  1.99743000e-03  0.00000000e+00  0.00000000e+00  2.68349400e+04
 1.00000000e-03  0.00000000e+00  1.99743000e-03 -6.68557500e+03  0.00000000e+00  2.63091400e+04
 2.00000000e-03  0.00000000e+00  1.99743000e-03 -1.33091300e+04  0.00000000e+00  2.55793600e+04
 3.00000000e-03  0.00000000e+00  1.99743000e-03 -1.97415800e+04  0.00000000e+00  2.45079500e+04
 4.00000000e-03  0.00000000e+00  1.99743000e-03 -2.49750300e+04  0.00000000e+00  2.22421100e+04
 5.00000000e-03  0.00000000e+00  1.99743000e-03 -3.02969900e+04  0.00000000e+00  2.07961600e+04
 6.00000000e-03  0.00000000e+00  1.99743000e-03 -3.40316200e+04  0.00000000e+00  1.83261200e+04
 7.00000000e-03  0.00000000e+00  1.99743000e-03 -3.77745000e+04  0.00000000e+00  1.60514300e+04
 8.00000000e-03  0.00000000e+00  1.99743000e-03 -3.97274200e+04  0.00000000e+00  1.34341200e+04
 9.00000000e-03  0.00000000e+00  1.99743000e-03 -4.17076200e+04  0.00000000e+00  1.09862900e+04
 1.00000000e-02  0.00000000e+00  1.99743000e-03 -4.19528500e+04  0.00000000e+00  8.58904600e+03
 0.00000000e+00  0.00000000e+00  2.99614000e-03  0.00000000e+00  0.00000000e+00  4.12620400e+04
 1.00000000e-03  0.00000000e+00  2.99614000e-03 -7.19790500e+03  0.00000000e+00  3.96949900e+04
 2.00000000e-03  0.00000000e+00  2.99614000e-03 -1.42327000e+04  0.00000000e+00  3.84229000e+04
 3.00000000e-03  0.00000000e+00  2.99614000e-03 -2.15780300e+04  0.00000000e+00  3.69071400e+04
 4.00000000e-03  0.00000000e+00  2.99614000e-03 -2.72921900e+04  0.00000000e+00  3.44318200e+04
 5.00000000e-03  0.00000000e+00  2.99614000e-03 -3.28376400e+04  0.00000000e+00  3.15569700e+04
 6.00000000e-03  0.00000000e+00  2.99614000e-03 -3.70850000e+04  0.00000000e+00  2.80285400e+04
 7.00000000e-03  0.00000000e+00  2.99614000e-03 -4.06479200e+04  0.00000000e+00  2.45703900e+04
 8.00000000e-03  0.00000000e+00  2.99614000e-03 -4.29872800e+04  0.00000000e+00  2.07705000e+04
 9.00000000e-03  0.00000000e+00  2.99614000e-03 -4.45218100e+04  0.00000000e+00  1.70208900e+04
 1.00000000e-02  0.00000000e+00  2.99614000e-03 -4.50104100e+04  0.00000000e+00  1.35082800e+04
 0.00000000e+00  0.00000000e+00  3.99486000e-03  0.00000000e+00  0.00000000e+00  5.70900900e+04
 1.00000000e-03  0.00000000e+00  3.99486000e-03 -7.97912700e+03  0.00000000e+00  5.49847700e+04
 2.00000000e-03  0.00000000e+00  3.99486000e-03 -1.57753700e+04  0.00000000e+00  5.31765200e+04
 3.00000000e-03  0.00000000e+00  3.99486000e-03 -2.39322700e+04  0.00000000e+00  5.10263400e+04
 4.00000000e-03  0.00000000e+00  3.99486000e-03 -3.02038600e+04  0.00000000e+00  4.75565700e+04
 5.00000000e-03  0.00000000e+00  3.99486000e-03 -3.62909300e+04  0.00000000e+00  4.34908100e+04
 6.00000000e-03  0.00000000e+00  3.99486000e-03 -4.08561200e+04  0.00000000e+00  3.85659300e+04
