Los Alamos National Laboratory Poisson Superfish
Program SF7 written by James H. Billen and Lloyd M. Young

The original Poisson Superfish codes were developed
by Ron F. Holsinger in collaboration with Klaus Halbach.
These programs are provided as a service to the accelerator
community by the Los Alamos Accelerator Code Group (LAACG).

(c) Copyright 1985-2005, by the Regents of the University of California.        
This software was produced under U. S. Government contract W-7405-ENG-36        
by Los Alamos National Laboratory, which is operated by the University          
of California for the U. S. Department of Energy.  Neither the Government       
nor the University makes any warranty, express or implied, or assumes           
any liability or responsibility for its use, or represents that use of          
this software would not infringe privately owned rights.                        
Unpublished - rights reserved under Copyright Laws of the United States.        


Program SF7  7.17  released 1-13-2006 

Program file: C:\LANL\SF7.EXE
SF.INI file: C:\LANL\SF.INI  2-11-2021   4:14:24
Solution file C:\LANL\LINAC\DISKLOADED_REGULAR\RUN\DISKLOADED.T35.
Memory used for DISKLOADED.T35 arrays:     280.800 K
Reading keyword commands and data from file:
C:\LANL\LINAC\DISKLOADED_REGULAR\RUN\DISKLOADED.IN7

Electromagnetic fields for a rectangular area with corners at:
(Zmin,Rmin) = (0.0,0.0)
(Zmax,Rmax) = (104.865,10)
Z and R increments:   105    10

      Z             R              Ez            Er            |E|           H 
    (mm)          (mm)           (MV/m)        (MV/m)        (MV/m)        (A/m) 
   0.00000       0.00000      1.930763E+00  0.000000E+00  1.930763E+00  0.000000E+00
  0.998714       0.00000      1.927185E+00  0.000000E+00  1.927185E+00  0.000000E+00
   1.99743       0.00000      1.917134E+00  0.000000E+00  1.917134E+00  0.000000E+00
   2.99614       0.00000      1.900062E+00  0.000000E+00  1.900062E+00  0.000000E+00
   3.99486       0.00000      1.875509E+00  0.000000E+00  1.875509E+00  0.000000E+00
   4.99357       0.00000      1.842755E+00  0.000000E+00  1.842755E+00  0.000000E+00
   5.99229       0.00000      1.800900E+00  0.000000E+00  1.800900E+00  0.000000E+00
   6.99100       0.00000      1.748881E+00  0.000000E+00  1.748881E+00  0.000000E+00
   7.98971       0.00000      1.685522E+00  0.000000E+00  1.685522E+00  0.000000E+00
   8.98843       0.00000      1.609606E+00  0.000000E+00  1.609606E+00  0.000000E+00
   9.98714       0.00000      1.519998E+00  0.000000E+00  1.519998E+00  0.000000E+00
   10.9859       0.00000      1.415801E+00  0.000000E+00  1.415801E+00  0.000000E+00
   11.9846       0.00000      1.296558E+00  0.000000E+00  1.296558E+00  0.000000E+00
   12.9833       0.00000      1.162469E+00  0.000000E+00  1.162469E+00  0.000000E+00
   13.9820       0.00000      1.014598E+00  0.000000E+00  1.014598E+00  0.000000E+00
   14.9807       0.00000      8.550156E-01  0.000000E+00  8.550156E-01  0.000000E+00
   15.9794       0.00000      6.829417E-01  0.000000E+00  6.829417E-01  0.000000E+00
   16.9781       0.00000      5.098912E-01  0.000000E+00  5.098912E-01  0.000000E+00
   17.9769       0.00000      3.408663E-01  0.000000E+00  3.408663E-01  0.000000E+00
   18.9756       0.00000      1.721440E-01  0.000000E+00  1.721440E-01  0.000000E+00
   19.9743       0.00000      1.188598E-02  0.000000E+00  1.188598E-02  0.000000E+00
   20.9730       0.00000     -1.366252E-01  0.000000E+00  1.366252E-01  0.000000E+00
   21.9717       0.00000     -2.711805E-01  0.000000E+00  2.711805E-01  0.000000E+00
   22.9704       0.00000     -3.897350E-01  0.000000E+00  3.897350E-01  0.000000E+00
   23.9691       0.00000     -4.935337E-01  0.000000E+00  4.935337E-01  0.000000E+00
   24.9679       0.00000     -5.848289E-01  0.000000E+00  5.848289E-01  0.000000E+00
   25.9666       0.00000     -6.612486E-01  0.000000E+00  6.612486E-01  0.000000E+00
   26.9653       0.00000     -7.256767E-01  0.000000E+00  7.256767E-01  0.000000E+00
   27.9640       0.00000     -7.795909E-01  0.000000E+00  7.795909E-01  0.000000E+00
   28.9627       0.00000     -8.244217E-01  0.000000E+00  8.244217E-01  0.000000E+00
   29.9614       0.00000     -8.602352E-01  0.000000E+00  8.602352E-01  0.000000E+00
   30.9601       0.00000     -8.908680E-01  0.000000E+00  8.908680E-01  0.000000E+00
   31.9589       0.00000     -9.166772E-01  0.000000E+00  9.166772E-01  0.000000E+00
   32.9576       0.00000     -9.366060E-01  0.000000E+00  9.366060E-01  0.000000E+00
   33.9563       0.00000     -9.523443E-01  0.000000E+00  9.523443E-01  0.000000E+00
   34.9550       0.00000     -9.644093E-01  0.000000E+00  9.644093E-01  0.000000E+00
   35.9537       0.00000     -9.731988E-01  0.000000E+00  9.731988E-01  0.000000E+00
   36.9524       0.00000     -9.788162E-01  0.000000E+00  9.788162E-01  0.000000E+00
   37.9511       0.00000     -9.819321E-01  0.000000E+00  9.819321E-01  0.000000E+00
   38.9499       0.00000     -9.824668E-01  0.000000E+00  9.824668E-01  0.000000E+00
   39.9486       0.00000     -9.803504E-01  0.000000E+00  9.803504E-01  0.000000E+00
   40.9473       0.00000     -9.757661E-01  0.000000E+00  9.757661E-01  0.000000E+00
   41.9460       0.00000     -9.687761E-01  0.000000E+00  9.687761E-01  0.000000E+00
   42.9447       0.00000     -9.594726E-01  0.000000E+00  9.594726E-01  0.000000E+00
   43.9434       0.00000     -9.476960E-01  0.000000E+00  9.476960E-01  0.000000E+00
   44.9421       0.00000     -9.341608E-01  0.000000E+00  9.341608E-01  0.000000E+00
   45.9409       0.00000     -9.198975E-01  0.000000E+00  9.198975E-01  0.000000E+00
   46.9396       0.00000     -9.042874E-01  0.000000E+00  9.042874E-01  0.000000E+00
   47.9383       0.00000     -8.886816E-01  0.000000E+00  8.886816E-01  0.000000E+00
   48.9370       0.00000     -8.740974E-01  0.000000E+00  8.740974E-01  0.000000E+00
   49.9357       0.00000     -8.616664E-01  0.000000E+00  8.616664E-01  0.000000E+00
   50.9344       0.00000     -8.518337E-01  0.000000E+00  8.518337E-01  0.000000E+00
   51.9331       0.00000     -8.473434E-01  0.000000E+00  8.473434E-01  0.000000E+00
   52.9319       0.00000     -8.473270E-01  0.000000E+00  8.473270E-01  0.000000E+00
   53.9306       0.00000     -8.519404E-01  0.000000E+00  8.519404E-01  0.000000E+00
   54.9293       0.00000     -8.609283E-01  0.000000E+00  8.609283E-01  0.000000E+00
   55.9280       0.00000     -8.734111E-01  0.000000E+00  8.734111E-01  0.000000E+00
   56.9267       0.00000     -8.882508E-01  0.000000E+00  8.882508E-01  0.000000E+00
   57.9254       0.00000     -9.051853E-01  0.000000E+00  9.051853E-01  0.000000E+00
   58.9241       0.00000     -9.210038E-01  0.000000E+00  9.210038E-01  0.000000E+00
   59.9229       0.00000     -9.355071E-01  0.000000E+00  9.355071E-01  0.000000E+00
   60.9216       0.00000     -9.492038E-01  0.000000E+00  9.492038E-01  0.000000E+00
   61.9203       0.00000     -9.609406E-01  0.000000E+00  9.609406E-01  0.000000E+00
   62.9190       0.00000     -9.704442E-01  0.000000E+00  9.704442E-01  0.000000E+00
   63.9177       0.00000     -9.775634E-01  0.000000E+00  9.775634E-01  0.000000E+00
   64.9164       0.00000     -9.822446E-01  0.000000E+00  9.822446E-01  0.000000E+00
   65.9151       0.00000     -9.844198E-01  0.000000E+00  9.844198E-01  0.000000E+00
   66.9139       0.00000     -9.839347E-01  0.000000E+00  9.839347E-01  0.000000E+00
   67.9126       0.00000     -9.808525E-01  0.000000E+00  9.808525E-01  0.000000E+00
   68.9113       0.00000     -9.749754E-01  0.000000E+00  9.749754E-01  0.000000E+00
   69.9100       0.00000     -9.660936E-01  0.000000E+00  9.660936E-01  0.000000E+00
   70.9087       0.00000     -9.539109E-01  0.000000E+00  9.539109E-01  0.000000E+00
   71.9074       0.00000     -9.387056E-01  0.000000E+00  9.387056E-01  0.000000E+00
   72.9061       0.00000     -9.187770E-01  0.000000E+00  9.187770E-01  0.000000E+00
   73.9049       0.00000     -8.929606E-01  0.000000E+00  8.929606E-01  0.000000E+00
   74.9036       0.00000     -8.623197E-01  0.000000E+00  8.623197E-01  0.000000E+00
   75.9023       0.00000     -8.250443E-01  0.000000E+00  8.250443E-01  0.000000E+00
   76.9010       0.00000     -7.800109E-01  0.000000E+00  7.800109E-01  0.000000E+00
   77.8997       0.00000     -7.259495E-01  0.000000E+00  7.259495E-01  0.000000E+00
   78.8984       0.00000     -6.632746E-01  0.000000E+00  6.632746E-01  0.000000E+00
   79.8971       0.00000     -5.868669E-01  0.000000E+00  5.868669E-01  0.000000E+00
   80.8959       0.00000     -4.957841E-01  0.000000E+00  4.957841E-01  0.000000E+00
   81.8946       0.00000     -3.921425E-01  0.000000E+00  3.921425E-01  0.000000E+00
   82.8933       0.00000     -2.736483E-01  0.000000E+00  2.736483E-01  0.000000E+00
   83.8920       0.00000     -1.403485E-01  0.000000E+00  1.403485E-01  0.000000E+00
   84.8907       0.00000      6.818331E-03  0.000000E+00  6.818331E-03  0.000000E+00
   85.8894       0.00000      1.690981E-01  0.000000E+00  1.690981E-01  0.000000E+00
   86.8881       0.00000      3.376725E-01  0.000000E+00  3.376725E-01  0.000000E+00
   87.8869       0.00000      5.066868E-01  0.000000E+00  5.066868E-01  0.000000E+00
   88.8856       0.00000      6.800467E-01  0.000000E+00  6.800467E-01  0.000000E+00
   89.8843       0.00000      8.493198E-01  0.000000E+00  8.493198E-01  0.000000E+00
   90.8830       0.00000      1.010344E+00  0.000000E+00  1.010344E+00  0.000000E+00
   91.8817       0.00000      1.159773E+00  0.000000E+00  1.159773E+00  0.000000E+00
   92.8804       0.00000      1.295282E+00  0.000000E+00  1.295282E+00  0.000000E+00
   93.8791       0.00000      1.414939E+00  0.000000E+00  1.414939E+00  0.000000E+00
   94.8779       0.00000      1.520778E+00  0.000000E+00  1.520778E+00  0.000000E+00
